,cellID,t_predominant,geometry
0,7320,Transport,"POLYGON ((2.141430913127843 41.36155000690724, 2.141430913127843 41.36222423816697, 2.142329228411963 41.36222423816697, 2.142329228411963 41.36155000690724, 2.141430913127843 41.36155000690724))"
1,4092,HD,"POLYGON ((2.123464607445453 41.3905356429602, 2.123464607445453 41.39120957382688, 2.124362922729572 41.39120957382688, 2.124362922729572 41.3905356429602, 2.123464607445453 41.3905356429602))"
2,16951,Agri,"POLYGON ((2.193533199606776 41.38109987727217, 2.193533199606776 41.38177390594549, 2.194431514890895 41.38177390594549, 2.194431514890895 41.38109987727217, 2.193533199606776 41.38109987727217))"
3,8158,MD,"POLYGON ((2.145024174264321 41.41546643196073, 2.145024174264321 41.41614010431885, 2.145922489548441 41.41614010431885, 2.145922489548441 41.41546643196073, 2.145024174264321 41.41546643196073))"
4,11745,HD,"POLYGON ((2.162990479946711 41.42961208416032, 2.162990479946711 41.43028560978475, 2.163888795230831 41.43028560978475, 2.163888795230831 41.42961208416032, 2.162990479946711 41.42961208416032))"
5,9577,HD,"POLYGON ((2.152210696537278 41.39390522742995, 2.152210696537278 41.39457912336471, 2.153109011821397 41.39457912336471, 2.153109011821397 41.39390522742995, 2.152210696537278 41.39390522742995))"
6,16613,HD,"POLYGON ((2.190838253754417 41.39457912336471, 2.190838253754417 41.39525301231302, 2.191736569038536 41.39525301231302, 2.191736569038536 41.39457912336471, 2.190838253754417 41.39457912336471))"
7,14423,HD,"POLYGON ((2.177363524492624 41.41075052981653, 2.177363524492624 41.41142425108384, 2.178261839776744 41.41142425108384, 2.178261839776744 41.41075052981653, 2.177363524492624 41.41075052981653))"
8,2038,LD,"POLYGON ((2.105498301763062 41.39323132450878, 2.105498301763062 41.39390522742995, 2.106396617047182 41.39390522742995, 2.106396617047182 41.39323132450878, 2.105498301763062 41.39323132450878))"
9,15424,Sports,"POLYGON ((2.183651731481461 41.38716588383236, 2.183651731481461 41.38783984963045, 2.18455004676558 41.38783984963045, 2.18455004676558 41.38716588383236, 2.183651731481461 41.38716588383236))"
10,17298,HD,"POLYGON ((2.196228145459134 41.39120957382688, 2.196228145459134 41.39188349770721, 2.197126460743253 41.39188349770721, 2.197126460743253 41.39120957382688, 2.196228145459134 41.39120957382688))"
11,11406,HD,"POLYGON ((2.161193849378473 41.42355003910423, 2.161193849378473 41.42422362761565, 2.162092164662592 41.42422362761565, 2.162092164662592 41.42355003910423, 2.161193849378473 41.42355003910423))"
