,cellID,t_predominant,geometry
0,33278,LD,"POLYGON ((9.239414377790412 45.41638275674944, 9.239414377790412 45.41701332513266, 9.240312693074532 45.41701332513266, 9.240312693074532 45.41638275674944, 9.239414377790412 45.41638275674944))"
1,31052,Industrial,"POLYGON ((9.22773627909686 45.47436557300281, 9.22773627909686 45.47499549358722, 9.228634594380978 45.47499549358722, 9.228634594380978 45.47436557300281, 9.22773627909686 45.47436557300281))"
2,6633,Industrial,"POLYGON ((9.1145485532978 45.495149234561, 9.1145485532978 45.49577892278795, 9.11544686858192 45.49577892278795, 9.11544686858192 45.495149234561, 9.1145485532978 45.495149234561))"
3,9247,Industrial,"POLYGON ((9.130718228411951 45.50144579998172, 9.130718228411951 45.50207541779788, 9.131616543696071 45.50207541779788, 9.131616543696071 45.50144579998172, 9.130718228411951 45.50144579998172))"
4,3095,MD,"POLYGON ((9.086700779490096 45.46869597088979, 9.086700779490096 45.4693259548449, 9.087599094774214 45.4693259548449, 9.087599094774214 45.46869597088979, 9.086700779490096 45.46869597088979))"
5,29275,Industrial,"POLYGON ((9.218753126255665 45.52096067820066, 9.218753126255665 45.52159007774515, 9.219651441539785 45.52159007774515, 9.219651441539785 45.52096067820066, 9.218753126255665 45.52096067820066))"
6,23273,Sports,"POLYGON ((9.193600298300318 45.52662502062601, 9.193600298300318 45.52725435680179, 9.194498613584438 45.52725435680179, 9.194498613584438 45.52662502062601, 9.193600298300318 45.52662502062601))"
7,19179,Industrial,"POLYGON ((9.177430623186167 45.49703827811857, 9.177430623186167 45.49766794522225, 9.178328938470285 45.49766794522225, 9.178328938470285 45.49703827811857, 9.177430623186167 45.49703827811857))"
8,15184,Industrial,"POLYGON ((9.161260948072016 45.44349083887275, 9.161260948072016 45.44412110447789, 9.162159263356134 45.44412110447789, 9.162159263356134 45.44349083887275, 9.161260948072016 45.44349083887275))"
9,26462,Transport,"POLYGON ((9.207075027562112 45.46176568266365, 9.207075027562112 45.46239574407213, 9.20797334284623 45.46239574407213, 9.20797334284623 45.46176568266365, 9.207075027562112 45.46176568266365))"
10,22314,HD,"POLYGON ((9.19000703716384 45.48759242663164, 9.19000703716384 45.48822219935187, 9.19090535244796 45.48822219935187, 9.19090535244796 45.48759242663164, 9.19000703716384 45.48759242663164))"
11,32356,HD,"POLYGON ((9.234024486085696 45.4932601276336, 9.234024486085696 45.49388983698383, 9.234922801369816 45.49388983698383, 9.234922801369816 45.4932601276336, 9.234024486085696 45.4932601276336))"
12,35084,Transport,"POLYGON ((9.248397530631609 45.50585297683263, 9.248397530631609 45.50648254536141, 9.249295845915729 45.50648254536141, 9.249295845915729 45.50585297683263, 9.248397530631609 45.50585297683263))"
13,30264,Transport,"POLYGON ((9.224143017960381 45.44412110447789, 9.224143017960381 45.44475136304173, 9.225041333244501 45.44475136304173, 9.225041333244501 45.44412110447789, 9.224143017960381 45.44412110447789))"
14,32092,Industrial,"POLYGON ((9.233126170801578 45.43907878248016, 9.233126170801578 45.43970909737446, 9.234024486085696 45.43970909737446, 9.234024486085696 45.43907878248016, 9.233126170801578 45.43907878248016))"
