,cellID,t_predominant,geometry
0,5560,Green_Urban,"POLYGON ((4.929116950716589 52.35231010044274, 4.929116950716589 52.35368181650283, 4.931362738926888 52.35368181650283, 4.931362738926888 52.35231010044274, 4.929116950716589 52.35231010044274))"
1,3142,HD,"POLYGON ((4.855005939776729 52.38110719844137, 4.855005939776729 52.3824780206164, 4.857251727987027 52.3824780206164, 4.857251727987027 52.38110719844137, 4.855005939776729 52.38110719844137))"
2,889,HD,"POLYGON ((4.780894928836868 52.35368181650283, 4.780894928836868 52.3550534899916, 4.783140717047166 52.3550534899916, 4.783140717047166 52.35368181650283, 4.780894928836868 52.35368181650283))"
3,2529,HD,"POLYGON ((4.834793845884039 52.36328263695672, 4.834793845884039 52.3646540124613, 4.837039634094338 52.3646540124613, 4.837039634094338 52.36328263695672, 4.834793845884039 52.36328263695672))"
4,1498,Industrial,"POLYGON ((4.801107022729557 52.39070205992411, 4.801107022729557 52.39207258419, 4.803352810939855 52.39207258419, 4.803352810939855 52.39070205992411, 4.801107022729557 52.39070205992411))"
5,4301,HD,"POLYGON ((4.88869276293121 52.36876788357502, 4.88869276293121 52.37013908881472, 4.890938551141509 52.37013908881472, 4.890938551141509 52.36876788357502, 4.88869276293121 52.36876788357502))"
6,3119,Industrial,"POLYGON ((4.855005939776729 52.34956654060647, 4.855005939776729 52.3509383418108, 4.857251727987027 52.3509383418108, 4.857251727987027 52.34956654060647, 4.855005939776729 52.34956654060647))"
7,3928,HD,"POLYGON ((4.877463821879716 52.37973633370576, 4.877463821879716 52.38110719844137, 4.879709610090015 52.38110719844137, 4.879709610090015 52.37973633370576, 4.877463821879716 52.37973633370576))"
8,2783,Industrial,"POLYGON ((4.843776998725234 52.34270689598044, 4.843776998725234 52.34407891005469, 4.846022786935532 52.34407891005469, 4.846022786935532 52.34270689598044, 4.843776998725234 52.34270689598044))"
9,6764,Sports,"POLYGON ((4.960557985660772 52.36191121888456, 4.960557985660772 52.36328263695672, 4.96280377387107 52.36328263695672, 4.96280377387107 52.36191121888456, 4.960557985660772 52.36191121888456))"
10,6322,HD,"POLYGON ((4.949329044609278 52.39481350505343, 4.949329044609278 52.39618390165204, 4.951574832819577 52.39618390165204, 4.951574832819577 52.39481350505343, 4.949329044609278 52.39481350505343))"
11,342,Industrial,"POLYGON ((4.75843704673388 52.40851555614315, 4.75843704673388 52.4098855272191, 4.760682834944178 52.4098855272191, 4.760682834944178 52.40851555614315, 4.75843704673388 52.40851555614315))"
12,3347,HD,"POLYGON ((4.861743304407625 52.3509383418108, 4.861743304407625 52.35231010044274, 4.863989092617923 52.35231010044274, 4.863989092617923 52.3509383418108, 4.861743304407625 52.3509383418108))"
