,cellID,t_predominant,geometry
0,1068,Transport,"POLYGON ((-9.16470774190134 38.76148071992191, -9.16470774190134 38.76323187210985, -9.162461953691043 38.76323187210985, -9.162461953691043 38.76148071992191, -9.16470774190134 38.76148071992191))"
1,279,HD,"POLYGON ((-9.200640353266122 38.69841062505004, -9.200640353266122 38.70016332393181, -9.198394565055823 38.70016332393181, -9.198394565055823 38.69841062505004, -9.200640353266122 38.69841062505004))"
2,1180,HD,"POLYGON ((-9.160216165480744 38.77723954248238, -9.160216165480744 38.77899030787886, -9.157970377270445 38.77899030787886, -9.157970377270445 38.77723954248238, -9.160216165480744 38.77723954248238))"
3,1980,HD,"POLYGON ((-9.122037765905665 38.73871183106317, -9.122037765905665 38.74046354186676, -9.119791977695366 38.74046354186676, -9.119791977695366 38.73871183106317, -9.122037765905665 38.73871183106317))"
4,6,Transport,"POLYGON ((-9.227589811789707 38.69665788321538, -9.227589811789707 38.69841062505004, -9.225344023579408 38.69841062505004, -9.225344023579408 38.69665788321538, -9.227589811789707 38.69665788321538))"
5,1202,Industrial,"POLYGON ((-9.157970377270445 38.72294450041504, -9.157970377270445 38.72469659789478, -9.155724589060146 38.72469659789478, -9.155724589060146 38.72294450041504, -9.157970377270445 38.72294450041504))"
6,1851,HD,"POLYGON ((-9.12877513053656 38.73345644085662, -9.12877513053656 38.73520828055752, -9.126529342326261 38.73520828055752, -9.126529342326261 38.73345644085662, -9.12877513053656 38.73345644085662))"
7,437,HD,"POLYGON ((-9.193902988635227 38.74922145136893, -9.193902988635227 38.75097290436214, -9.191657200424926 38.75097290436214, -9.191657200424926 38.74922145136893, -9.193902988635227 38.74922145136893))"
8,1993,HD,"POLYGON ((-9.122037765905665 38.76148071992191, -9.122037765905665 38.76323187210985, -9.119791977695366 38.76323187210985, -9.119791977695366 38.76148071992191, -9.122037765905665 38.76148071992191))"
9,1754,Industrial,"POLYGON ((-9.133266706957158 38.7211923599742, -9.133266706957158 38.72294450041504, -9.131020918746859 38.72294450041504, -9.131020918746859 38.7211923599742, -9.133266706957158 38.7211923599742))"
10,1932,HD,"POLYGON ((-9.124283554115962 38.72644865241286, -9.124283554115962 38.72820066396866, -9.122037765905665 38.72820066396866, -9.122037765905665 38.72644865241286, -9.124283554115962 38.72644865241286))"
11,1096,Industrial,"POLYGON ((-9.162461953691043 38.7211923599742, -9.162461953691043 38.72294450041504, -9.160216165480744 38.72294450041504, -9.160216165480744 38.7211923599742, -9.162461953691043 38.7211923599742))"
12,1196,HD,"POLYGON ((-9.157970377270445 38.71243101337403, -9.157970377270445 38.71418336861158, -9.155724589060146 38.71418336861158, -9.155724589060146 38.71243101337403, -9.157970377270445 38.71243101337403))"
