,cellID,t_predominant,geometry
0,3667,Water,"POLYGON ((-9.095088307382079 38.76568341297566, -9.095088307382079 38.76708425565224, -9.093291676813839 38.76708425565224, -9.093291676813839 38.76568341297566, -9.095088307382079 38.76568341297566))"
1,1365,HD,"POLYGON ((-9.172343421816358 38.76428254279489, -9.172343421816358 38.76568341297566, -9.170546791248119 38.76568341297566, -9.170546791248119 38.76428254279489, -9.172343421816358 38.76428254279489))"
2,3169,HD,"POLYGON ((-9.118444504769185 38.76988585849159, -9.118444504769185 38.77128661865376, -9.116647874200947 38.77128661865376, -9.116647874200947 38.76988585849159, -9.118444504769185 38.76988585849159))"
3,416,Agri,"POLYGON ((-9.201089510908181 38.71243101337403, -9.201089510908181 38.7138329010007, -9.199292880339943 38.7138329010007, -9.199292880339943 38.71243101337403, -9.201089510908181 38.71243101337403))"
4,346,HD,"POLYGON ((-9.204682772044659 38.74466747248913, -9.204682772044659 38.74606872769752, -9.202886141476421 38.74606872769752, -9.202886141476421 38.74466747248913, -9.204682772044659 38.74466747248913))"
5,2015,Sports,"POLYGON ((-9.154377116133967 38.78109116962133, -9.154377116133967 38.78249170973205, -9.152580485565727 38.78249170973205, -9.152580485565727 38.78109116962133, -9.154377116133967 38.78109116962133))"
6,3227,Transport,"POLYGON ((-9.114851243632707 38.722243649394, -9.114851243632707 38.72364534456231, -9.113054613064469 38.72364534456231, -9.113054613064469 38.722243649394, -9.114851243632707 38.722243649394))"
7,1141,HD,"POLYGON ((-9.177733313521074 38.70401911027464, -9.177733313521074 38.70542116285392, -9.175936682952836 38.70542116285392, -9.175936682952836 38.70401911027464, -9.177733313521074 38.70401911027464))"
8,2056,Industrial,"POLYGON ((-9.152580485565727 38.74746995540587, -9.152580485565727 38.74887115561389, -9.150783854997488 38.74887115561389, -9.150783854997488 38.74746995540587, -9.152580485565727 38.74746995540587))"
9,2831,HD,"POLYGON ((-9.129224288178619 38.73065340796906, -9.129224288178619 38.73205493816137, -9.127427657610381 38.73205493816137, -9.127427657610381 38.73065340796906, -9.129224288178619 38.73065340796906))"
10,216,HD,"POLYGON ((-9.210072663749377 38.74746995540587, -9.210072663749377 38.74887115561389, -9.208276033181139 38.74887115561389, -9.208276033181139 38.74746995540587, -9.210072663749377 38.74746995540587))"
11,1614,Transport,"POLYGON ((-9.165156899543401 38.7628816451102, -9.165156899543401 38.76428254279489, -9.163360268975161 38.76428254279489, -9.163360268975161 38.7628816451102, -9.165156899543401 38.7628816451102))"
12,1861,Industrial,"POLYGON ((-9.157970377270445 38.74887115561389, -9.157970377270445 38.75027232832128, -9.156173746702207 38.75027232832128, -9.156173746702207 38.74887115561389, -9.157970377270445 38.74887115561389))"
13,943,Industrial,"POLYGON ((-9.18491983579403 38.75727777933832, -9.18491983579403 38.75867878703567, -9.183123205225792 38.75867878703567, -9.183123205225792 38.75727777933832, -9.18491983579403 38.75727777933832))"
14,1849,Green_Urban,"POLYGON ((-9.157970377270445 38.73205493816137, -9.157970377270445 38.73345644085662, -9.156173746702207 38.73345644085662, -9.156173746702207 38.73205493816137, -9.157970377270445 38.73205493816137))"
15,393,HD,"POLYGON ((-9.202886141476421 38.74466747248913, -9.202886141476421 38.74606872769752, -9.201089510908181 38.74606872769752, -9.201089510908181 38.74466747248913, -9.202886141476421 38.74466747248913))"
16,1899,Industrial,"POLYGON ((-9.156173746702207 38.70962715564244, -9.156173746702207 38.71102909825451, -9.154377116133967 38.71102909825451, -9.154377116133967 38.70962715564244, -9.156173746702207 38.70962715564244))"
17,962,HD,"POLYGON ((-9.183123205225792 38.70121492264323, -9.183123205225792 38.70261703020432, -9.181326574657554 38.70261703020432, -9.181326574657554 38.70121492264323, -9.183123205225792 38.70121492264323))"
18,2079,HD,"POLYGON ((-9.152580485565727 38.77969060200316, -9.152580485565727 38.78109116962133, -9.150783854997488 38.78109116962133, -9.150783854997488 38.77969060200316, -9.152580485565727 38.77969060200316))"
19,2804,Transport,"POLYGON ((-9.131020918746859 38.77128661865376, -9.131020918746859 38.77268735131054, -9.129224288178619 38.77268735131054, -9.129224288178619 38.77128661865376, -9.131020918746859 38.77128661865376))"
20,1929,Industrial,"POLYGON ((-9.156173746702207 38.75167347352775, -9.156173746702207 38.75307459123297, -9.154377116133967 38.75307459123297, -9.154377116133967 38.75167347352775, -9.156173746702207 38.75167347352775))"
21,1623,HD,"POLYGON ((-9.165156899543401 38.77548873410674, -9.165156899543401 38.77688938424556, -9.163360268975161 38.77688938424556, -9.163360268975161 38.77548873410674, -9.165156899543401 38.77548873410674))"
22,403,Sports,"POLYGON ((-9.201089510908181 38.69420397248714, -9.201089510908181 38.69560621749744, -9.199292880339943 38.69560621749744, -9.199292880339943 38.69420397248714, -9.201089510908181 38.69420397248714))"
23,562,HD,"POLYGON ((-9.195699619203465 38.69700843501852, -9.195699619203465 38.69841062505004, -9.193902988635227 38.69841062505004, -9.193902988635227 38.69700843501852, -9.195699619203465 38.69700843501852))"
